Watershed,Site,Tot_inv_abun,FBI,Family_Shannon,Family_Richness,Family_Eveness,EPT,FFG_Pred,FFG_Graze,FFG_Collect_Gath,FFG_Collect_Filt,FFG_Shredder,N_Uptake,N_Uptake_Cat,N_Distance,N_Rate,N_Q,Water_Cat,pH,Temp,DO_per,DO_ppm,SPC,TDS,PO4,NO3,NH3,BOD,TSS,Discharge,Chloride,Imper_Catch,Imper_5m,Arsenic,Mercury,Lead,Wetland,Forest,Grass,Agricultural,Mat_Tree_D,Sap_Tree_D,Tot_Tree_D,Invas_Shrub_D,Mature_Helio_IV,Mature_Inter_IV,Mature_Meso_IV,Sapling_Helio_IV,Sapling_Inter_IV,Sapling_Meso_IV,Mature_rich,Mature_Shan_H,Mature_Shan_E,Sapling_Rich,Sapling_Shan_H,Sapling_Shan_E,ACNE_MD,ACNE_MI
Crow,C13,18.53,7.08,1.83,20,0.61,0.003,0.35,0.26,0.39,NA,NA,Yes,1,333,-3.9051e-4,-4.98e-5,2,7.76,18.74,78.88,6.84,639.4,419.9,0.21,3.67,0.14,0.87,332.6,0.0892,48.45,23,25,0.1,2.33,0.43,0.001,6.8,33.1,35.199999999999996,39.67,40.46,80.13,168.4,0,1,0,0,1,0,2,0.3,0.44,3,0.9,0.82,0,0
Crow,C6,36.67,5.88,1.92,26,0.59,0.098,0.04,0.15,0.75,0.06,NA,Yes,1,7.2,-0.01139917,-0.00231706,2,7.863,18.86,85.54,7.48,780.1,543.7,0.09,3.02,0.08,0.8,407.2,0.06089,57.53,10,9,1.3,13.3,0,0,6.7,25.1,56.00000000000001,96.71,116.59,213.3,267,0.22,0.74,0.04,0.14,0.76,0.1,7,1.77,0.91,10,1.82,0.79,18.6,0.16
Crow,C8,86.27,4.31,1.04,28,0.31,0.08,0.03,0.05,0.87,0.08,NA,No,2,NA,9.2142e-4,2.2384e-4,2,7.78,18.2,82,7.24,687.8,454.3,0.2,4.61,0.05,1.07,379.25,0.14539,61.27,10,3,1.2,6,2.53,0,9.1,21.1,57.199999999999996,62.63,124.25,186.88,62.6,0.09,0.86,0.05,0.08,0.72,0.2,11,2.09,0.87,11,2,0.83,16.28,0.36
Crow,C10,39.47,5.97,1.83,28,0.55,0.14,0.43,0.3,0.16,0.1,NA,No,2,NA,0.00274998,9.5868e-4,2,7.94,19.84,87.44,7.54,645,459.2,0.64,5.89,0.09,0.95,298.4,0.70079,36.9,13,9,0.2,10.67,3.86,0,4.4,17.599999999999998,64.1,47.06,34.25,81.31,72.4,0,0.92,0.08,0,1,0,3,0.94,0.86,3,1.05,0.96,23.53,0.65
Crow,C3,43.13,5.94,2.19,29,0.65,0.043,0.65,0.25,0.5,0.1,NA,No,2,NA,8.3657e-4,6.517e-4,2,8,18.18,70.21,6.41,1286,862.75,0.15,1.38,0.16,1.51,811.67,0.0556,250.63,20,7,0.1,0,2.1,0.001,55.00000000000001,19.4,3.6,39.22,35.91,75.13,63.7,0.2,0.08,0.71,0.31,0.69,0,11,1.71,0.71,7,1.77,0.91,0,0
Crow,C11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.06,18.48,84.03,7.47,619,442.25,0.33,5.44,0.08,1.97,478.5,0.0319,15.56,20,7,0.87,6.33,3.63,0,3.9,6.3,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duck,DSilM10,15,NA,1.578721332,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duck,DRobM1,53,NA,1.330201141,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duck,DSilM1,405,NA,1.349881765,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duck,DPheasM5,55,NA,1.916302904,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duck,DPheasM1,112,NA,2.076653397,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duck,DGoT9,28,NA,2.542913162,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kickapoo,KDogM9,36,4.59,1.9,23,0.61,0.572,0.06,0.24,0.53,0.4,NA,NA,NA,NA,NA,NA,4,7.93499999999999,15.4,96.2,9.61,517.5,337.5,0.07,4.52,0,0.83,540,0.281,30.27,2.41,0,NA,NA,NA,0.001,36.5,22.5,38.7,135.82,102.47,238.29,164,0.23,0.46,0.31,0.04,0.95,0.01,15,2.39,0.88,14,2.18,0.83,5.905,0.037
Kickapoo,KDogM4,25.87,5,1.86,24,0.58,0.561,0.07,0.13,0.36,0.51,NA,NA,NA,NA,NA,NA,4,7.785,15.5,97.4,9.74,535.8,378.05,0.08,3.13,0,0.71,504,0.226,36.49,4.42,0.5,NA,NA,NA,0.001,40.8,27.6,26.3,443.81,228.73,672.54,1179.6,0.35,0.23,0.42,0.03,0.71,0.26,13,1.96,0.77,12,2.05,0.82,0,0
Kickapoo,KDogM18,41.07,7.49,2.02,31,0.59,0.001,0.13,0.25,0.57,0.05,NA,NA,NA,NA,NA,NA,4,7.38,13.8,72.5,7.38,547,356,0.08,11.4,0,0.92,480,0.143,44.88,5.26,1.2,NA,NA,NA,0.001,0.7,11.2,82.69999999999999,36.06,46.01,82.08,149.7,0.39,0.59,0.02,0.54,0.39,0.07,11,1.8,0.75,13,2.17,0.85,0,0
Rock Island,RI6,11.4,5.55,1.94,14,0.74,0.432,0.25,0.23,0.25,0.27,NA,Yes,1,163.93,-0.0061,0.0228,3,8.067,20.2,79.4,7.11,943,613,0.98,1.67,0.02,1.2,600,0.01828,180,42,33,13.2,2.4,1.6,0,8.2,19,0,244.62,208.43,453.05,572.5,0.29,0.63,0.08,0.04,0.86,0.1,19,2.59,0.88,11,1.95,0.81,10.192,0.039
Rock Island,RI2,22.13,7.3,1.48,17,0.52,0.491,0.06,0.45,0.78,0.11,NA,NA,NA,NA,NA,NA,3,7.522,19.3,43.36,3.95,1270,823,1.34,2.4,0.05,1.87,860,0.01014,207.5,51,50,10.8,2.8,3.2,0,1.7,6.5,0,186.32,154.19,340.5,90.2,0.21,0.7,0.09,0.02,0.96,0.02,14,2.4,0.91,10,1.59,0.69,22.11,0.1
Rock Island,RI16,13.33,6.24,2.35,21,0.78,1.71,0.19,0.36,0.33,0.15,NA,NA,NA,NA,NA,NA,3,7.944,20.3,69.5,6.17,1466,954,1.17,1.7,0.02,1.5,1110,0.00657,193,41,6,11.25,4.5,7.75,0,7.4,26,0,151.94,304.31,456.24,353.7,0.22,0.64,0.14,0.27,0.61,0.12,14,2.49,0.94,14,2.19,0.83,18.088,0.081
Rock Island,RI12,NA,5.46,1.6,22,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8.07099999999999,20.1,81.5,7.29,1329,870,0.74,1.76,0.02,1.72,1220,0.00169,178,35,27,12.6,2.8,7.6,0,0,34.699999999999996,0,211.22,307.96,519.18,1707.1,0.42,0.49,0.09,0.36,0.51,0.13,13,2.09,0.81,15,2.33,0.86,0,0
Rock Island,RI19,28.87,6.46,2,26,0.62,0.18,0.46,0.74,0.59,0.41,NA,NA,NA,NA,NA,NA,3,7.828,20.2,60.7,6.07,1465,823,1.03,2.11,0.06,1.15,900,0.00488,161,47,30,13.25,2.25,4.25,0,0,9,0,203.55,241.5,445.05,553.5,0.15,0.69,0.16,0.17,0.83,0,12,2.14,0.86,11,2.08,0.87,7.142,0.032
Rock Island,RI22,NA,7.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,56.18,-0.0178,0.0028,3,7.69,22.7,57,4.79,1222.13,779,1.64,1.25,0.28,0.61,NA,0.00398,107.03,47.25,29.7,11.25,2.25,7.69,0,0,4.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI9,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,81.3,-0.0123,0.0021,3,7.89,20.2,72.8,6.48,1078.75,700,0.75,1.33,0.16,0.75,NA,0.00778,79.75,18.46,0.4,10.2,2.6,7.89,0,88,93.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI7,NA,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,243.9,-0.0041,0.0061,3,8.01,20.5,79.9,7.22,1035.63,678,0.89,2.23,0.15,0.65,NA,0.01772,102.46,24.82,15.3,12.8,2.4,8.05,0,26,43.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI3,NA,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,59.52,-0.0168,0.0384,3,7.74,19.57,72.18,6.56,1151.13,800,1.2,3.05,0.2,0.84,NA,0.02482,184,50.51,46.8,11.4,1.4,7.74,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI11,NA,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2,NA,0,NA,3,8.06,21.4,80.1,6.99,1114.05,771,0.88,2.25,0.24,0.83,NA,0.04587,165,33.76,26.8,11.6,2,8.06,0,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI13,NA,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2,NA,-0.0013,4e-4,3,8.14,20.6,84.6,7.45,1248.63,914,1.15,2.81,0.16,0.65,NA,0.05889,195,35.62,29.2,12,2.4,8.14,0,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI4,NA,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,52.08,-0.0192,0.0457,3,8.19,20.25,69.5,6.19,879.11,623,1.1,2.69,0.18,0.55,NA,0.07211,122,45.01,38.3,10.8,2.6,7.91,0,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock River,RESouthParkM1,163,NA,0.8076372318,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock River,RBlackT2,64,NA,1.045438715,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock River,RIFAC,134,NA,1.66175406,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock River,RWSouthParkM1,652,NA,2.346975647,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walnut,W1,26.33,4.32,0.58,17,0.21,0.007,0.09,0.09,0.97,0.01,NA,NA,NA,NA,NA,NA,1,7.97,16.79,87.63,8.26,914.33,601.41,0.14,2.53,0.08,2.06,447.5,0.171,77.66,10,4,0.33,8.1,1.9,0.002,52.800000000000004,17.8,18,76.03,43.69,119.72,69.3,0.16,0.82,0.02,0.4,0.6,0,9,1.9,0.86,9,2.19,0.92,21.96,0.28
Walnut,W3,118.13,4.51,0.82,23,0.26,0.029,0.04,0.03,0.96,0.04,NA,No,2,8.298e-5,9.053e-5,NA,1,8.153,17.02,95.37,8.96,629.85,511.48,0.32,1.65,0.1,1.56,577,0.05686,53.41,3,0,1,5.96,0,0.002,54,18.9,22.3,147.64,214.57,362.21,325.03,0.34,0.55,0.11,0.11,0.77,0.13,15,2.32,0.86,18,2.5,0.86,0,0
Walnut,W4,NA,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8.06,17.47,97.31,8.85,957.64,715.67,0.11,2.17,0.1,1.24,640.33,0.05345,97.9,10,3,0.33,0,0,0.1,57,15.5,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
